type,dir,name,row,col,side,scale,flip
exr,data/KAIST,scene14_reflectance.exr,315,398,96,1,False
exr,data/KAIST,scene14_reflectance.exr,60,1840,96,1,False
exr,data/KAIST,scene14_reflectance.exr,1279,27,96,1,False
exr,data/KAIST,scene14_reflectance.exr,466,2309,96,1,False
exr,data/KAIST,scene14_reflectance.exr,1197,1156,96,1,False
exr,data/KAIST,scene14_reflectance.exr,2530,1417,96,1,False
exr,data/KAIST,scene14_reflectance.exr,2344,1367,96,1,False
exr,data/KAIST,scene14_reflectance.exr,427,1460,96,1,False
exr,data/KAIST,scene14_reflectance.exr,1543,2421,96,1,False
exr,data/KAIST,scene14_reflectance.exr,2214,2864,96,1,False
exr,data/KAIST,scene14_reflectance.exr,920,2263,96,1,False
exr,data/KAIST,scene14_reflectance.exr,381,1612,96,1,False
exr,data/KAIST,scene14_reflectance.exr,212,1790,96,1,False
exr,data/KAIST,scene14_reflectance.exr,1804,547,96,1,False
exr,data/KAIST,scene14_reflectance.exr,2517,1925,96,1,False
exr,data/KAIST,scene14_reflectance.exr,294,1972,96,1,False
exr,data/KAIST,scene14_reflectance.exr,2129,1207,96,1,False
exr,data/KAIST,scene14_reflectance.exr,252,500,96,1,False
exr,data/KAIST,scene14_reflectance.exr,2369,1203,96,1,False
exr,data/KAIST,scene14_reflectance.exr,8,2755,96,1,False
exr,data/KAIST,scene14_reflectance.exr,573,3213,96,1,False
exr,data/KAIST,scene14_reflectance.exr,2375,3125,96,1,False
exr,data/KAIST,scene14_reflectance.exr,606,1828,96,1,False
exr,data/KAIST,scene14_reflectance.exr,1992,1541,96,1,False
exr,data/KAIST,scene14_reflectance.exr,2087,275,96,1,False
exr,data/KAIST,scene14_reflectance.exr,1539,1530,96,1,False
exr,data/KAIST,scene14_reflectance.exr,600,2390,96,1,False
exr,data/KAIST,scene14_reflectance.exr,1537,1427,96,1,False
exr,data/KAIST,scene14_reflectance.exr,2332,3229,96,1,False
exr,data/KAIST,scene14_reflectance.exr,2070,1927,96,1,False
exr,data/KAIST,scene14_reflectance.exr,1160,878,96,1,False
exr,data/KAIST,scene14_reflectance.exr,1648,681,96,1,False
exr,data/KAIST,scene14_reflectance.exr,989,2771,96,1,False
exr,data/KAIST,scene14_reflectance.exr,1046,1769,96,1,False
exr,data/KAIST,scene14_reflectance.exr,1864,583,96,1,False
exr,data/KAIST,scene14_reflectance.exr,64,3100,96,1,False
exr,data/KAIST,scene14_reflectance.exr,2451,2289,96,1,False
exr,data/KAIST,scene14_reflectance.exr,2311,572,96,1,False
exr,data/KAIST,scene14_reflectance.exr,360,985,96,1,False
exr,data/KAIST,scene14_reflectance.exr,645,1827,96,1,False
exr,data/KAIST,scene14_reflectance.exr,216,2166,96,1,False
exr,data/KAIST,scene14_reflectance.exr,522,1131,96,1,False
exr,data/KAIST,scene14_reflectance.exr,201,698,96,1,False
exr,data/KAIST,scene14_reflectance.exr,789,272,96,1,False
exr,data/KAIST,scene14_reflectance.exr,1069,1651,96,1,False
exr,data/KAIST,scene14_reflectance.exr,902,437,96,1,False
exr,data/KAIST,scene14_reflectance.exr,1817,244,96,1,False
exr,data/KAIST,scene14_reflectance.exr,1442,67,96,1,False
exr,data/KAIST,scene14_reflectance.exr,1686,2141,96,1,False
exr,data/KAIST,scene14_reflectance.exr,408,1969,96,1,False
exr,data/KAIST,scene14_reflectance.exr,2019,1099,96,1,False
exr,data/KAIST,scene14_reflectance.exr,702,618,96,1,False
exr,data/KAIST,scene14_reflectance.exr,1543,2148,96,1,False
exr,data/KAIST,scene14_reflectance.exr,1675,3200,96,1,False
exr,data/KAIST,scene14_reflectance.exr,420,5,96,1,False
exr,data/KAIST,scene14_reflectance.exr,2057,889,96,1,False
exr,data/KAIST,scene14_reflectance.exr,682,2318,96,1,False
exr,data/KAIST,scene14_reflectance.exr,1110,1318,96,1,False
exr,data/KAIST,scene14_reflectance.exr,1313,1059,96,1,False
exr,data/KAIST,scene14_reflectance.exr,2,2999,96,1,False
exr,data/KAIST,scene14_reflectance.exr,2084,1980,96,1,False
exr,data/KAIST,scene14_reflectance.exr,20,2963,96,1,False
exr,data/KAIST,scene14_reflectance.exr,2157,1694,96,1,False
exr,data/KAIST,scene14_reflectance.exr,329,3233,96,1,False
exr,data/KAIST,scene14_reflectance.exr,1895,2018,96,1,False
exr,data/KAIST,scene14_reflectance.exr,1618,740,96,1,False
exr,data/KAIST,scene14_reflectance.exr,2226,291,96,1,False
exr,data/KAIST,scene14_reflectance.exr,190,2793,96,1,True
exr,data/KAIST,scene14_reflectance.exr,1611,581,96,1,True
exr,data/KAIST,scene14_reflectance.exr,826,2808,96,1,True
exr,data/KAIST,scene14_reflectance.exr,356,2507,96,1,True
exr,data/KAIST,scene14_reflectance.exr,1488,675,96,1,True
exr,data/KAIST,scene14_reflectance.exr,1868,2749,96,1,True
exr,data/KAIST,scene14_reflectance.exr,253,2214,96,1,True
exr,data/KAIST,scene14_reflectance.exr,1001,1519,96,1,True
exr,data/KAIST,scene14_reflectance.exr,1803,1237,96,1,True
exr,data/KAIST,scene14_reflectance.exr,1621,139,96,1,True
exr,data/KAIST,scene14_reflectance.exr,1281,2700,96,1,True
exr,data/KAIST,scene14_reflectance.exr,554,2245,96,1,True
exr,data/KAIST,scene14_reflectance.exr,1968,879,96,1,True
exr,data/KAIST,scene14_reflectance.exr,1164,1587,96,1,True
exr,data/KAIST,scene14_reflectance.exr,1362,2584,96,1,True
exr,data/KAIST,scene14_reflectance.exr,1552,3087,96,1,True
exr,data/KAIST,scene14_reflectance.exr,869,2212,96,1,True
exr,data/KAIST,scene14_reflectance.exr,2428,2391,96,1,True
exr,data/KAIST,scene14_reflectance.exr,310,2154,96,1,True
exr,data/KAIST,scene14_reflectance.exr,255,1223,96,1,True
exr,data/KAIST,scene14_reflectance.exr,1213,1140,96,1,True
exr,data/KAIST,scene14_reflectance.exr,1959,1473,96,1,True
exr,data/KAIST,scene14_reflectance.exr,1908,2314,96,1,True
exr,data/KAIST,scene14_reflectance.exr,436,611,96,1,True
exr,data/KAIST,scene14_reflectance.exr,2413,544,96,1,True
exr,data/KAIST,scene14_reflectance.exr,135,1446,96,1,True
exr,data/KAIST,scene14_reflectance.exr,633,1198,96,1,True
exr,data/KAIST,scene14_reflectance.exr,406,1812,96,1,True
exr,data/KAIST,scene14_reflectance.exr,68,766,96,1,True
exr,data/KAIST,scene14_reflectance.exr,2006,1892,96,1,True
exr,data/KAIST,scene14_reflectance.exr,1184,2899,96,1,True
exr,data/KAIST,scene14_reflectance.exr,1481,3152,96,1,True
exr,data/KAIST,scene14_reflectance.exr,2550,719,96,1,True
exr,data/KAIST,scene14_reflectance.exr,721,844,96,1,True
exr,data/KAIST,scene14_reflectance.exr,1570,811,96,1,True
exr,data/KAIST,scene14_reflectance.exr,312,2968,96,1,True
exr,data/KAIST,scene14_reflectance.exr,1952,2440,96,1,True
exr,data/KAIST,scene14_reflectance.exr,1635,2191,96,1,True
exr,data/KAIST,scene14_reflectance.exr,2032,1954,96,1,True
exr,data/KAIST,scene14_reflectance.exr,1530,792,96,1,True
exr,data/KAIST,scene14_reflectance.exr,1452,559,96,1,True
exr,data/KAIST,scene14_reflectance.exr,978,1268,96,1,True
exr,data/KAIST,scene14_reflectance.exr,309,3138,96,1,True
exr,data/KAIST,scene14_reflectance.exr,1136,2965,96,1,True
exr,data/KAIST,scene14_reflectance.exr,859,843,96,1,True
exr,data/KAIST,scene14_reflectance.exr,887,633,96,1,True
exr,data/KAIST,scene14_reflectance.exr,1512,2222,96,1,True
exr,data/KAIST,scene14_reflectance.exr,781,299,96,1,True
exr,data/KAIST,scene14_reflectance.exr,481,2188,96,1,True
exr,data/KAIST,scene14_reflectance.exr,38,2066,96,1,True
exr,data/KAIST,scene14_reflectance.exr,2058,961,96,1,True
exr,data/KAIST,scene14_reflectance.exr,282,2709,96,1,True
exr,data/KAIST,scene14_reflectance.exr,2199,1461,96,1,True
exr,data/KAIST,scene14_reflectance.exr,85,1023,96,1,True
exr,data/KAIST,scene14_reflectance.exr,2511,1072,96,1,True
exr,data/KAIST,scene14_reflectance.exr,2177,2871,96,1,True
exr,data/KAIST,scene14_reflectance.exr,342,967,96,1,True
exr,data/KAIST,scene14_reflectance.exr,2545,585,96,1,True
exr,data/KAIST,scene14_reflectance.exr,2060,956,96,1,True
exr,data/KAIST,scene14_reflectance.exr,1627,917,96,1,True
exr,data/KAIST,scene14_reflectance.exr,77,2229,96,1,True
exr,data/KAIST,scene14_reflectance.exr,1252,570,96,1,True
exr,data/KAIST,scene14_reflectance.exr,739,3137,96,1,True
exr,data/KAIST,scene14_reflectance.exr,107,948,96,1,True
exr,data/KAIST,scene14_reflectance.exr,1738,2061,96,1,True
exr,data/KAIST,scene14_reflectance.exr,2568,2418,96,1,True
exr,data/KAIST,scene14_reflectance.exr,232,2102,96,1,True
exr,data/KAIST,scene14_reflectance.exr,2515,3057,96,1,True
exr,data/KAIST,scene14_reflectance.exr,751,3250,96,1,True
exr,data/KAIST,scene14_reflectance.exr,735,294,96,1,True
exr,data/KAIST,scene14_reflectance.exr,966,1899,96,1,True
exr,data/KAIST,scene14_reflectance.exr,1678,3231,96,1,True
exr,data/KAIST,scene14_reflectance.exr,758,2476,96,1,True
exr,data/KAIST,scene14_reflectance.exr,2208,3103,96,1,True
exr,data/KAIST,scene14_reflectance.exr,593,1856,96,1,True
exr,data/KAIST,scene14_reflectance.exr,2427,2708,96,1,True
exr,data/KAIST,scene14_reflectance.exr,266,2386,96,1,True
exr,data/KAIST,scene14_reflectance.exr,931,2271,96,1,True
exr,data/KAIST,scene14_reflectance.exr,950,116,96,1,True
exr,data/KAIST,scene14_reflectance.exr,2589,2784,96,1,True
exr,data/KAIST,scene14_reflectance.exr,940,3214,96,1,True
exr,data/KAIST,scene14_reflectance.exr,2512,2208,96,1,True
exr,data/KAIST,scene14_reflectance.exr,476,950,96,1,True
exr,data/KAIST,scene14_reflectance.exr,1265,3278,96,1,True
exr,data/KAIST,scene14_reflectance.exr,1959,691,96,1,True
exr,data/KAIST,scene14_reflectance.exr,2105,920,96,1,True
exr,data/KAIST,scene14_reflectance.exr,1647,2448,96,1,True
exr,data/KAIST,scene14_reflectance.exr,1386,2453,96,1,True
exr,data/KAIST,scene14_reflectance.exr,2029,779,96,1,True
exr,data/KAIST,scene14_reflectance.exr,2210,1302,96,1,True
exr,data/KAIST,scene14_reflectance.exr,102,2576,96,1,True
exr,data/KAIST,scene14_reflectance.exr,2458,77,96,1,True
exr,data/KAIST,scene14_reflectance.exr,590,1951,96,1,True
exr,data/KAIST,scene14_reflectance.exr,800,2585,96,1,True
exr,data/KAIST,scene14_reflectance.exr,496,135,96,1,True
exr,data/KAIST,scene14_reflectance.exr,1599,1484,96,1,True
exr,data/KAIST,scene14_reflectance.exr,144,2344,96,1,True
exr,data/KAIST,scene14_reflectance.exr,1651,169,96,1,True
exr,data/KAIST,scene14_reflectance.exr,1709,2517,96,1,True
exr,data/KAIST,scene14_reflectance.exr,329,1864,96,1,True
exr,data/KAIST,scene14_reflectance.exr,1554,1692,96,1,True
exr,data/KAIST,scene14_reflectance.exr,2340,2603,96,1,True
exr,data/KAIST,scene14_reflectance.exr,357,2372,96,1,True
exr,data/KAIST,scene14_reflectance.exr,648,3054,96,1,True
exr,data/KAIST,scene14_reflectance.exr,422,656,96,1,True
exr,data/KAIST,scene14_reflectance.exr,298,1667,96,1,True
exr,data/KAIST,scene14_reflectance.exr,2334,1370,96,1,True
exr,data/KAIST,scene14_reflectance.exr,1642,2739,96,1,True
exr,data/KAIST,scene14_reflectance.exr,402,199,96,1,True
exr,data/KAIST,scene14_reflectance.exr,1127,1268,96,1,True
exr,data/KAIST,scene14_reflectance.exr,1398,2625,96,1,True
exr,data/KAIST,scene14_reflectance.exr,981,866,96,1,True
exr,data/KAIST,scene14_reflectance.exr,1733,196,96,1,True
exr,data/KAIST,scene14_reflectance.exr,1314,1078,96,1,True
exr,data/KAIST,scene14_reflectance.exr,602,2028,96,1,True
exr,data/KAIST,scene14_reflectance.exr,2537,3095,96,1,True
exr,data/KAIST,scene14_reflectance.exr,389,286,96,1,True
exr,data/KAIST,scene14_reflectance.exr,2337,3228,96,1,True
exr,data/KAIST,scene14_reflectance.exr,1907,2235,96,1,True
exr,data/KAIST,scene14_reflectance.exr,352,857,96,1,True
exr,data/KAIST,scene14_reflectance.exr,1267,87,96,0.5,False
exr,data/KAIST,scene14_reflectance.exr,2218,2975,96,0.5,False
exr,data/KAIST,scene14_reflectance.exr,2511,2372,96,0.5,False
exr,data/KAIST,scene14_reflectance.exr,863,2040,96,0.5,False
exr,data/KAIST,scene14_reflectance.exr,77,1688,96,0.5,False
exr,data/KAIST,scene14_reflectance.exr,1982,1084,96,0.5,False
exr,data/KAIST,scene14_reflectance.exr,1220,612,96,0.5,False
exr,data/KAIST,scene14_reflectance.exr,1785,1427,96,0.5,False
exr,data/KAIST,scene14_reflectance.exr,496,1733,96,0.5,False
exr,data/KAIST,scene14_reflectance.exr,1950,2948,96,0.5,False
exr,data/KAIST,scene14_reflectance.exr,1562,1758,96,0.5,False
exr,data/KAIST,scene14_reflectance.exr,678,437,96,0.5,False
exr,data/KAIST,scene14_reflectance.exr,362,634,96,0.5,False
exr,data/KAIST,scene14_reflectance.exr,73,1304,96,0.5,False
exr,data/KAIST,scene14_reflectance.exr,1846,195,96,0.5,False
exr,data/KAIST,scene14_reflectance.exr,1513,1370,96,0.5,False
exr,data/KAIST,scene14_reflectance.exr,930,2143,96,0.5,False
exr,data/KAIST,scene14_reflectance.exr,75,2797,96,0.5,False
exr,data/KAIST,scene14_reflectance.exr,482,2787,96,0.5,False
exr,data/KAIST,scene14_reflectance.exr,585,825,96,0.5,False
exr,data/KAIST,scene14_reflectance.exr,1978,2601,96,0.5,False
exr,data/KAIST,scene14_reflectance.exr,959,491,96,0.5,False
exr,data/KAIST,scene14_reflectance.exr,2183,1187,96,0.5,False
exr,data/KAIST,scene14_reflectance.exr,1078,413,96,0.5,False
exr,data/KAIST,scene14_reflectance.exr,2427,2349,96,0.5,False
exr,data/KAIST,scene14_reflectance.exr,1090,824,96,0.5,False
exr,data/KAIST,scene14_reflectance.exr,274,745,96,0.5,False
exr,data/KAIST,scene14_reflectance.exr,2272,1227,96,0.5,False
exr,data/KAIST,scene14_reflectance.exr,1184,2109,96,0.5,False
exr,data/KAIST,scene14_reflectance.exr,1332,2310,96,0.5,False
exr,data/KAIST,scene14_reflectance.exr,626,489,96,0.5,False
exr,data/KAIST,scene14_reflectance.exr,1002,486,96,0.5,False
exr,data/KAIST,scene14_reflectance.exr,2414,2985,96,0.5,False
exr,data/KAIST,scene14_reflectance.exr,992,725,96,0.5,False
exr,data/KAIST,scene14_reflectance.exr,1619,3098,96,0.5,False
exr,data/KAIST,scene14_reflectance.exr,364,1265,96,0.5,False
exr,data/KAIST,scene14_reflectance.exr,872,831,96,0.5,False
exr,data/KAIST,scene14_reflectance.exr,574,1312,96,0.5,False
exr,data/KAIST,scene14_reflectance.exr,1534,2105,96,0.5,False
exr,data/KAIST,scene14_reflectance.exr,1029,1114,96,0.5,False
exr,data/KAIST,scene14_reflectance.exr,1817,1184,96,0.5,False
exr,data/KAIST,scene14_reflectance.exr,748,2257,96,0.5,False
exr,data/KAIST,scene14_reflectance.exr,260,2629,96,0.5,False
exr,data/KAIST,scene14_reflectance.exr,100,947,96,0.5,False
exr,data/KAIST,scene14_reflectance.exr,2065,2098,96,0.5,False
exr,data/KAIST,scene14_reflectance.exr,767,2035,96,0.5,False
exr,data/KAIST,scene14_reflectance.exr,268,1036,96,0.5,False
exr,data/KAIST,scene14_reflectance.exr,312,2775,96,0.5,False
exr,data/KAIST,scene14_reflectance.exr,1798,2826,96,0.5,False
exr,data/KAIST,scene14_reflectance.exr,1225,1968,96,0.5,False
exr,data/KAIST,scene14_reflectance.exr,1784,1591,96,0.5,False
exr,data/KAIST,scene14_reflectance.exr,1910,2384,96,0.5,False
exr,data/KAIST,scene14_reflectance.exr,1254,347,96,0.5,False
exr,data/KAIST,scene14_reflectance.exr,1401,1958,96,0.5,False
exr,data/KAIST,scene14_reflectance.exr,974,556,96,0.5,False
exr,data/KAIST,scene14_reflectance.exr,1909,2077,96,0.5,False
exr,data/KAIST,scene14_reflectance.exr,27,1308,96,0.5,False
exr,data/KAIST,scene14_reflectance.exr,2006,999,96,0.5,False
exr,data/KAIST,scene14_reflectance.exr,1977,2036,96,0.5,False
exr,data/KAIST,scene14_reflectance.exr,1437,2627,96,0.5,False
exr,data/KAIST,scene14_reflectance.exr,431,843,96,0.5,False
exr,data/KAIST,scene14_reflectance.exr,1302,2524,96,0.5,False
exr,data/KAIST,scene14_reflectance.exr,1004,529,96,0.5,False
exr,data/KAIST,scene14_reflectance.exr,662,198,96,0.5,False
exr,data/KAIST,scene14_reflectance.exr,79,2919,96,0.5,False
exr,data/KAIST,scene14_reflectance.exr,1555,90,96,0.5,False
exr,data/KAIST,scene14_reflectance.exr,1367,2875,96,0.5,False
exr,data/KAIST,scene14_reflectance.exr,1969,1717,96,0.5,False
exr,data/KAIST,scene14_reflectance.exr,1196,1707,96,0.5,False
exr,data/KAIST,scene14_reflectance.exr,1889,1536,96,0.5,False
exr,data/KAIST,scene14_reflectance.exr,1743,1386,96,0.5,False
exr,data/KAIST,scene14_reflectance.exr,2271,1372,96,0.5,False
exr,data/KAIST,scene14_reflectance.exr,391,2269,96,0.5,False
exr,data/KAIST,scene14_reflectance.exr,1805,1766,96,0.5,False
exr,data/KAIST,scene14_reflectance.exr,1645,2787,96,0.5,False
exr,data/KAIST,scene14_reflectance.exr,1633,2990,96,0.5,False
exr,data/KAIST,scene14_reflectance.exr,521,2886,96,0.5,False
exr,data/KAIST,scene14_reflectance.exr,547,1806,96,0.5,False
exr,data/KAIST,scene14_reflectance.exr,820,2975,96,0.5,False
exr,data/KAIST,scene14_reflectance.exr,2445,1908,96,0.5,False
exr,data/KAIST,scene14_reflectance.exr,2245,2989,96,0.5,False
exr,data/KAIST,scene14_reflectance.exr,1196,589,96,0.5,False
exr,data/KAIST,scene14_reflectance.exr,830,1780,96,0.5,False
exr,data/KAIST,scene14_reflectance.exr,693,1304,96,0.5,False
exr,data/KAIST,scene14_reflectance.exr,673,1668,96,0.5,False
exr,data/KAIST,scene14_reflectance.exr,950,1273,96,0.5,False
exr,data/KAIST,scene14_reflectance.exr,300,76,96,0.5,False
exr,data/KAIST,scene14_reflectance.exr,1819,333,96,0.5,False
exr,data/KAIST,scene14_reflectance.exr,590,65,96,0.5,False
exr,data/KAIST,scene14_reflectance.exr,1559,2276,96,0.5,False
exr,data/KAIST,scene14_reflectance.exr,259,1331,96,0.5,False
exr,data/KAIST,scene14_reflectance.exr,1852,2918,96,0.5,False
exr,data/KAIST,scene14_reflectance.exr,748,2372,96,0.5,False
exr,data/KAIST,scene14_reflectance.exr,286,778,96,0.5,False
exr,data/KAIST,scene14_reflectance.exr,2374,1510,96,0.5,False
exr,data/KAIST,scene14_reflectance.exr,1183,1199,96,0.5,False
exr,data/KAIST,scene14_reflectance.exr,2168,2784,96,0.5,False
exr,data/KAIST,scene14_reflectance.exr,2111,1944,96,0.5,False
exr,data/KAIST,scene14_reflectance.exr,1461,25,96,0.5,False
exr,data/KAIST,scene14_reflectance.exr,1501,2806,96,0.5,False
exr,data/KAIST,scene14_reflectance.exr,1484,1027,96,0.5,False
exr,data/KAIST,scene14_reflectance.exr,1252,1,96,0.5,False
exr,data/KAIST,scene14_reflectance.exr,1669,2091,96,0.5,False
exr,data/KAIST,scene14_reflectance.exr,107,140,96,0.5,False
exr,data/KAIST,scene14_reflectance.exr,2359,1657,96,0.5,False
exr,data/KAIST,scene14_reflectance.exr,437,427,96,0.5,False
exr,data/KAIST,scene14_reflectance.exr,1160,486,96,0.5,False
exr,data/KAIST,scene14_reflectance.exr,607,3014,96,0.5,False
exr,data/KAIST,scene14_reflectance.exr,1656,2055,96,0.5,False
exr,data/KAIST,scene14_reflectance.exr,1072,2485,96,0.5,False
exr,data/KAIST,scene14_reflectance.exr,871,2221,96,0.5,False
exr,data/KAIST,scene14_reflectance.exr,1877,2209,96,0.5,False
exr,data/KAIST,scene14_reflectance.exr,652,2799,96,0.5,False
exr,data/KAIST,scene14_reflectance.exr,498,1919,96,0.5,False
exr,data/KAIST,scene14_reflectance.exr,1956,375,96,0.5,False
exr,data/KAIST,scene14_reflectance.exr,1912,1466,96,0.5,False
exr,data/KAIST,scene14_reflectance.exr,1807,3113,96,0.5,False
exr,data/KAIST,scene14_reflectance.exr,1830,296,96,0.5,False
exr,data/KAIST,scene14_reflectance.exr,2184,684,96,0.5,False
exr,data/KAIST,scene14_reflectance.exr,994,2248,96,0.5,False
exr,data/KAIST,scene14_reflectance.exr,1168,2216,96,0.5,True
exr,data/KAIST,scene14_reflectance.exr,1419,396,96,0.5,True
exr,data/KAIST,scene14_reflectance.exr,1042,629,96,0.5,True
exr,data/KAIST,scene14_reflectance.exr,2163,1561,96,0.5,True
exr,data/KAIST,scene14_reflectance.exr,2116,2996,96,0.5,True
exr,data/KAIST,scene14_reflectance.exr,1921,1157,96,0.5,True
exr,data/KAIST,scene14_reflectance.exr,834,1068,96,0.5,True
exr,data/KAIST,scene14_reflectance.exr,373,2539,96,0.5,True
exr,data/KAIST,scene14_reflectance.exr,39,3121,96,0.5,True
exr,data/KAIST,scene14_reflectance.exr,1938,2384,96,0.5,True
exr,data/KAIST,scene14_reflectance.exr,2065,879,96,0.5,True
exr,data/KAIST,scene14_reflectance.exr,1461,3052,96,0.5,True
exr,data/KAIST,scene14_reflectance.exr,1230,289,96,0.5,True
exr,data/KAIST,scene14_reflectance.exr,969,2289,96,0.5,True
exr,data/KAIST,scene14_reflectance.exr,418,3090,96,0.5,True
exr,data/KAIST,scene14_reflectance.exr,2455,2744,96,0.5,True
exr,data/KAIST,scene14_reflectance.exr,417,1520,96,0.5,True
exr,data/KAIST,scene14_reflectance.exr,1186,541,96,0.5,True
exr,data/KAIST,scene14_reflectance.exr,836,2987,96,0.5,True
exr,data/KAIST,scene14_reflectance.exr,1088,2854,96,0.5,True
exr,data/KAIST,scene14_reflectance.exr,2225,713,96,0.5,True
exr,data/KAIST,scene14_reflectance.exr,2260,2632,96,0.5,True
exr,data/KAIST,scene14_reflectance.exr,1908,1847,96,0.5,True
exr,data/KAIST,scene14_reflectance.exr,788,2412,96,0.5,True
exr,data/KAIST,scene14_reflectance.exr,1385,1796,96,0.5,True
exr,data/KAIST,scene14_reflectance.exr,348,3137,96,0.5,True
exr,data/KAIST,scene14_reflectance.exr,1346,2448,96,0.5,True
exr,data/KAIST,scene14_reflectance.exr,1742,2518,96,0.5,True
exr,data/KAIST,scene14_reflectance.exr,248,587,96,0.5,True
exr,data/KAIST,scene14_reflectance.exr,1998,1428,96,0.5,True
exr,data/KAIST,scene14_reflectance.exr,2250,633,96,0.5,True
exr,data/KAIST,scene14_reflectance.exr,2190,166,96,0.5,True
exr,data/KAIST,scene14_reflectance.exr,1582,2555,96,0.5,True
exr,data/KAIST,scene14_reflectance.exr,936,3079,96,0.5,True
exr,data/KAIST,scene14_reflectance.exr,396,1148,96,0.5,True
exr,data/KAIST,scene14_reflectance.exr,769,44,96,0.5,True
exr,data/KAIST,scene14_reflectance.exr,1347,2478,96,0.5,True
exr,data/KAIST,scene14_reflectance.exr,2370,918,96,0.5,True
exr,data/KAIST,scene14_reflectance.exr,636,1525,96,0.5,True
exr,data/KAIST,scene14_reflectance.exr,1946,445,96,0.5,True
exr,data/KAIST,scene14_reflectance.exr,2210,2505,96,0.5,True
exr,data/KAIST,scene14_reflectance.exr,1018,2611,96,0.5,True
exr,data/KAIST,scene14_reflectance.exr,323,3020,96,0.5,True
exr,data/KAIST,scene14_reflectance.exr,809,1830,96,0.5,True
exr,data/KAIST,scene14_reflectance.exr,1007,2333,96,0.5,True
exr,data/KAIST,scene14_reflectance.exr,981,1601,96,0.5,True
exr,data/KAIST,scene14_reflectance.exr,2100,3103,96,0.5,True
exr,data/KAIST,scene14_reflectance.exr,2203,895,96,0.5,True
exr,data/KAIST,scene14_reflectance.exr,520,2705,96,0.5,True
